2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-27 06:20:26 -12;CREATE;;;;;;;;;;;;;;;;;;;
2026-04-27 06:20:26 -12;CLIENT_CONFIGURE;;;;;;;;;;;;;;;;;;;
2026-04-27 06:20:28 -12;TRANSFER_FUNDS;;;;;;;;;;;;;;;;;100000.00;100000.00;
2026-04-27 06:46:04 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;30.00;Sell;;;;;;;;;;;;;;
2026-04-27 06:46:04 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4681.73000;30.00;Sell;6.3173;;;;;0.00000;0.0000;0.0000;;;0.00000;;100000.00;
2026-04-27 06:46:32 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;30.00;Sell;;;;;;;;;;;;;;
2026-04-27 06:46:32 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4682.59000;30.00;Sell;6.7605;;;;;0.00000;0.0000;0.0000;;;0.00000;;100000.00;
2026-04-27 06:49:51 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;29.00;Sell;;;;;;;;;;;;;;
2026-04-27 06:49:51 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4683.86000;29.00;Sell;4.9277;;;;;0.00000;0.0000;0.0000;;;0.00000;;100000.00;
2026-04-27 07:04:29 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;89.00;Buy;;;;;;;;;;;;;;
2026-04-27 07:04:29 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4679.33000;89.00;Buy;16.4416;;;;;0.00000;0.0000;0.0000;;0.7316;220.32350;;100220.32;
2026-04-27 07:27:08 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;35.00;Sell;;;;;;;;;;;;;;
2026-04-27 07:27:08 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4681.13000;35.00;Sell;7.3690;;;;;0.00000;0.0000;0.0000;;;0.00000;;100220.32;
2026-04-27 07:28:13 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;35.00;Sell;;;;;;;;;;;;;;
2026-04-27 07:28:13 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4681.79000;35.00;Sell;6.0761;;;;;0.00000;0.0000;0.0000;;;0.00000;;100220.32;
2026-04-27 07:37:12 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;70.00;Buy;;;;;;;;;;;;;;
2026-04-27 07:37:12 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4677.11000;70.00;Buy;12.9298;;;;;0.00000;0.0000;0.0000;;0.7315;222.72830;;100443.05;
2026-04-27 07:53:00 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;25.00;Sell;;;;;;;;;;;;;;
2026-04-27 07:53:00 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4679.16000;25.00;Sell;6.2800;;;;;0.00000;0.0000;0.0000;;;0.00000;;100443.05;
2026-04-27 07:59:08 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;27.00;Sell;;;;;;;;;;;;;;
2026-04-27 07:59:08 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4680.59000;27.00;Sell;6.2850;;;;;0.00000;0.0000;0.0000;;;0.00000;;100443.05;
2026-04-27 09:00:00 -12;DAILY_FINANCING;;;;;;;;;;;13.56470;;;;;;;100456.62;
2026-04-27 09:00:00 -12;DAILY_FINANCING;Trade ID: 19;XAU/USD;;;;;;;;;6.52150;;;;;;;;
2026-04-27 09:00:00 -12;DAILY_FINANCING;Trade ID: 21;XAU/USD;;;;;;;;;7.04320;;;;;;;;
2026-04-27 17:00:49 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;52.00;Buy;;;;;;;;;;;;;;
2026-04-27 17:00:49 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4664.67000;52.00;Buy;14.2204;;;;;0.00000;0.0000;0.0000;;0.7317;579.58450;;101036.20;
2026-04-27 18:14:05 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-27 18:14:05 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4637.84000;11.00;Sell;2.2379;;;;;0.00000;0.0000;0.0000;;;0.00000;;101036.20;
2026-04-27 18:14:57 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-27 18:14:57 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4640.41000;11.00;Sell;3.0106;;;;;0.00000;0.0000;0.0000;;;0.00000;;101036.20;
2026-04-27 18:23:21 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;22.00;Buy;;;;;;;;;;;;;;
2026-04-27 18:23:21 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4626.83000;22.00;Buy;4.6394;;;;;0.00000;0.0000;0.0000;;0.7325;198.14140;;101234.34;
2026-04-27 18:32:02 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-27 18:32:02 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4631.99000;11.00;Sell;1.9533;;;;;0.00000;0.0000;0.0000;;;0.00000;;101234.34;
2026-04-27 18:33:20 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-27 18:33:20 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4634.02000;11.00;Sell;2.6453;;;;;0.00000;0.0000;0.0000;;;0.00000;;101234.34;
2026-04-27 19:04:35 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;;
2026-04-27 19:04:35 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4637.49000;10.00;Sell;2.4435;;;;;0.00000;0.0000;0.0000;;;0.00000;;101234.34;
2026-04-27 19:50:54 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;32.00;Buy;;;;;;;;;;;;;;
2026-04-27 19:50:54 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4624.20000;32.00;Buy;9.2399;;;;;0.00000;0.0000;0.0000;;0.7330;239.39610;;101473.74;
