transactions_101-004-39183559-001 9
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
197;2026-05-01 00:44:07 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;
198;2026-05-01 00:44:07 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4589.43000;12.00;Sell;2.1126;;;;;0.00000;0.0000;0.0000;;;0.00000;;103244.46
199;2026-05-01 00:44:42 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;
200;2026-05-01 00:44:42 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4591.91000;12.00;Sell;1.5405;;;;;0.00000;0.0000;0.0000;;;0.00000;;103244.46
201;2026-05-01 00:45:34 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;
202;2026-05-01 00:45:34 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4594.70000;12.00;Sell;2.9045;;;;;0.00000;0.0000;0.0000;;;0.00000;;103244.46
203;2026-05-01 01:41:21 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;36.00;Buy;;;;;;;;;;;;;
204;2026-05-01 01:41:21 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4607.90000;36.00;Buy;9.7749;;;;;0.00000;0.0000;0.0000;;0.7412;-423.89630;;102820.57
205;2026-05-03 18:01:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Sell;;;;;;;;;;;;;
